Fecha,Moneda,Venta
2024-06-13,USD,3.777
2024-06-14,USD,3.776
2024-06-15,USD,3.776
2024-06-16,USD,3.776
2024-06-17,USD,3.796
2024-06-18,USD,3.789
2024-06-19,USD,3.818
2024-06-20,USD,3.814
2024-06-21,USD,3.806
2024-06-22,USD,3.806
2024-06-23,USD,3.806
2024-06-24,USD,3.805
2024-06-25,USD,3.817
2024-06-26,USD,3.822
2024-06-27,USD,3.825
2024-06-28,USD,3.837
2024-06-29,USD,3.837
2024-06-30,USD,3.837
2024-07-01,USD,3.851
2024-07-02,USD,3.833
2024-07-03,USD,3.802
2024-07-04,USD,3.802
2024-07-05,USD,3.797
2024-07-06,USD,3.797
2024-07-07,USD,3.797
2024-07-08,USD,3.797
2024-07-09,USD,3.789
2024-07-10,USD,3.785
2024-07-11,USD,3.771
2024-07-12,USD,3.74
2024-07-13,USD,3.74
2024-07-14,USD,3.74
2024-07-15,USD,3.733
2024-07-16,USD,3.725
2024-07-17,USD,3.723
2024-07-18,USD,3.735
2024-07-19,USD,3.743
2024-07-20,USD,3.743
2024-07-21,USD,3.743
2024-07-22,USD,3.758
2024-07-23,USD,3.758
2024-07-24,USD,3.778
2024-07-25,USD,3.764
2024-07-26,USD,3.764
2024-07-27,USD,3.764
2024-07-28,USD,3.764
2024-07-29,USD,3.764
2024-07-30,USD,3.742
